DEP_1761001657414|000000000004|DEPOSITO|20000,00|2025-10-20T17:07:37.417308100
DEP_1761002111025|000000000005|DEPOSITO|25000,00|2025-10-20T17:15:11.025529100
TR_ORIG_1761002180046|000000000005|RETIRO|12000,00|2025-10-20T17:16:20.046353400
TR_DST_1761002180046|000000000004|DEPOSITO|12000,00|2025-10-20T17:16:20.046353400

TR_ORIG_1762451542332|000000000004|RETIRO|30000,00|2025-11-06T11:52:22.332604300
TR_DST_1762451542332|000000000006|DEPOSITO|30000,00|2025-11-06T11:52:22.332604300
TR_ORIG_1762549859327|000000000004|RETIRO|300,00|2025-11-07T15:10:59.327621200
TR_DST_1762549859327|000000000009|DEPOSITO|300,00|2025-11-07T15:10:59.327621200
DEP_1762550303873|000000000009|DEPOSITO|400,00|2025-11-07T15:18:23.873049200
